week_ending,week_number,weekly_gross,avg_ticket_price,seats_in_theatre,performances,year,month,holiday_week,Tony_Award
2010-03-14,42,544087,80.19,997,8,2010,March,0,0
2013-07-21,8,1037961,129.32,990,8,2013,July,0,0
2014-05-18,51,403042,77.12,734,8,2014,May,0,0
2018-11-04,23,1100964.5,127.81,1047,8,2018,November,0,0
2010-03-28,44,553047,63.99,1470,8,2010,March,0,0
2010-09-12,16,558088,70.83,1797,8,2010,September,0,0
2011-10-02,18,814553,104.14,1026,8,2011,October,0,0
2017-05-14,51,355922.6,73.54,659,8,2017,May,0,0
2018-08-12,11,602125.5,80.74,1026,8,2018,August,0,0
2015-05-03,49,550516,80.57,1384,8,2015,May,0,0
2016-12-04,28,1085083,121.61,1228,8,2016,December,0,0
2014-05-25,52,1117446,104.26,1409,8,2014,May,0,0
2014-09-07,15,1340668,99.26,1809,8,2014,September,1,0
2010-07-04,6,813658,82.08,1498,8,2010,July,0,0
2019-08-18,12,691231,91.02,1168,8,2019,August,0,0
2019-07-14,7,835622.6,102.91,1602,7,2019,July,0,0
2019-02-24,39,964310.9,112.92,1046,8,2019,February,0,0
2014-01-26,35,596123,90.61,1073,8,2014,January,0,0
2013-04-21,47,422484,98.44,583,8,2013,April,0,0
2012-02-12,37,196337,50.33,1079,8,2012,February,0,0
2019-08-04,10,800337,97.34,1380,8,2019,August,0,0
2013-03-03,40,768352,89.87,1195,8,2013,March,0,0
2010-06-13,3,354613,71.48,999,8,2010,June,0,1
2012-05-20,51,390779,76.56,990,8,2012,May,0,0
2015-05-03,49,489687,86.84,722,8,2015,May,0,0
2012-09-23,17,1113184,93.75,1930,8,2012,September,0,0
2010-05-30,1,619638,88.08,1057,8,2010,May,0,0
2017-03-19,43,885097,90.2,1375,8,2017,March,0,0
2018-01-14,34,1063743.9,132.32,1045,8,2018,January,0,0
2017-07-23,9,1241691,141.91,1066,8,2017,July,0,0
2017-01-15,34,326234.2,69.35,658,8,2017,January,0,0
2013-08-04,10,937040,87.04,1498,8,2013,August,0,0
2011-12-11,28,490581,83.46,1080,8,2011,December,0,0
2011-12-11,28,449136,102.54,1058,7,2011,December,0,0
2019-02-03,36,719525.6,105.24,1019,8,2019,February,0,0
2010-05-09,50,1274582,109.9,1519,8,2010,May,0,0
2019-12-15,29,2084320,162.63,1696,8,2019,December,0,0
2010-11-07,24,267558,64.78,790,8,2010,November,0,0
2017-12-17,30,1391115,162.89,1046,8,2017,December,0,0
2012-03-25,43,421183,95.83,583,8,2012,March,0,0
2016-02-07,37,815646.12,98.83,1051,8,2016,February,0,0
2010-02-21,39,1602783,110.75,1809,8,2010,February,0,0
2014-10-19,21,643770,76.79,1751,8,2014,October,0,0
2014-10-19,21,1680849,116.4,1809,8,2014,October,0,0
2013-09-01,14,464602,66.02,1069,8,2013,September,0,0
2016-03-20,43,768846.2,103.35,1051,8,2016,March,0,0
2014-01-19,34,1527348,141.49,1424,8,2014,January,0,0
2013-11-03,23,1288507,120.35,1507,8,2013,November,0,0
2019-04-14,46,601259.75,88.77,1045,8,2019,April,0,0
2019-04-07,45,1628150.48,140.62,1435,8,2019,April,0,0
2016-05-22,52,1003593.5,123.31,1026,8,2016,May,0,0
2010-07-25,9,609769,68.55,1344,8,2010,July,0,0
2011-10-16,20,399076,90.74,583,8,2011,October,0,0
2013-06-16,3,1721966,196.75,1066,8,2013,June,0,1
2019-07-28,9,901618.52,105.71,1046,8,2019,July,0,0
2017-09-03,15,1683308.4,211.29,984,8,2017,September,1,0
2012-03-04,40,295534,72.85,997,6,2012,March,0,0
2016-08-21,13,636970.32,76.11,1707,8,2016,August,0,0
2016-11-20,26,816926.5,90.96,1375,8,2016,November,1,0
2017-08-20,13,2969573,276.16,1321,8,2017,August,0,0
2012-07-22,8,305190,52.56,1369,8,2012,July,0,0
2018-08-12,11,906501.95,111.42,1045,8,2018,August,0,0
2014-05-18,51,272793,65.36,644,8,2014,May,0,0
2018-01-28,36,1497083,98.73,1926,8,2018,January,0,0
2010-03-21,43,539372,77.34,1071,8,2010,March,0,0
2016-02-07,37,1771086,164.81,1321,8,2016,February,0,0
2014-09-21,17,418041,74.92,1061,8,2014,September,0,0
2014-04-20,47,1412944,104.44,1751,8,2014,April,0,0
2018-11-25,26,421075.5,79.13,787,8,2018,November,1,0
2012-05-13,50,1529144,126.11,1612,8,2012,May,0,0
2016-04-24,48,258848.2,67.85,650,8,2016,April,0,0
2015-06-21,4,680486,96.41,1228,8,2015,June,1,1
2016-05-08,50,677547,94.81,1424,8,2016,May,0,0
2017-03-05,41,639319,111.36,1053,8,2017,March,0,0
2013-09-29,18,725606,83.52,1498,8,2013,September,0,0
2018-09-23,17,552322,93.08,1045,8,2018,September,0,0
2010-07-04,6,413659,72.87,997,8,2010,July,0,0
2019-04-21,47,776253.2,105.17,918,6,2019,April,0,0
2010-05-23,52,442947,71.03,1071,8,2010,May,0,0
2010-11-28,27,1206630,91.45,1797,8,2010,November,1,0
2016-10-30,23,2215641,206.03,1321,8,2016,October,0,0
2018-06-10,2,585891.34,88.17,1044,8,2018,June,0,1
2013-12-29,31,1059107,120.46,1080,8,2013,December,1,0
2019-04-28,48,728754.02,96.17,1026,8,2019,April,0,0
2013-09-08,15,190462,49.14,928,8,2013,September,1,0
2011-10-23,21,691942,83.09,1076,5,2011,October,0,0
2015-03-01,40,413270,73.37,1166,8,2015,March,0,0
2015-04-26,48,570683,77.94,1384,8,2015,April,0,0
2017-07-02,6,1065885.18,90.32,1605,8,2017,July,0,0
2019-11-10,24,1926476.26,166.08,1435,8,2019,November,0,0
2019-04-07,45,1003206.86,118.32,1046,8,2019,April,0,0
2018-12-09,28,208970.25,58.13,963,8,2018,December,0,0
2018-08-26,13,606103,79.08,1428,8,2018,August,0,0
2016-01-03,32,1495724,119.3,1626,8,2016,January,1,0
2012-10-21,21,514816,79.03,1045,8,2012,October,0,0
2010-01-03,32,888536,105.45,1080,8,2010,January,1,0
2014-11-02,23,341135,70.54,1059,8,2014,November,0,0
2014-02-02,36,340481,73.33,1080,8,2014,February,0,0
2011-05-29,53,302624,56.68,804,8,2011,May,0,0
2013-09-08,15,110717,31.5,702,8,2013,September,1,0
2010-05-02,49,385909,82.62,804,8,2010,May,0,0
2015-10-25,22,440948,85.87,1026,8,2015,October,0,0
2012-11-04,23,642500,98.62,1612,5,2012,November,0,0
2017-07-23,9,787855,101.05,1045,8,2017,July,0,0
2017-06-18,4,1254021.6,106.05,1496,8,2017,June,1,1
2018-06-17,3,1572995.95,158.97,1225,8,2018,June,0,1
2016-01-31,36,820725.5,85.98,1679,8,2016,January,0,0
2011-03-06,41,658483,68.7,1797,8,2011,March,0,0
2013-10-13,20,399628,97.71,583,8,2013,October,0,0
2017-12-31,32,1244793.5,137.73,1044,9,2017,December,1,0
2013-09-22,17,718957,74.25,1583,8,2013,September,0,0
2016-04-17,47,1451714,108.05,1727,8,2016,April,0,0
2014-04-06,45,1170038,84.91,1723,8,2014,April,0,0
2010-02-07,37,944733,85.4,1654,8,2010,February,0,0
2010-01-10,33,1539959,106.41,1809,8,2010,January,0,0
2011-07-17,7,364136,69.93,997,8,2011,July,0,0
2018-01-07,33,814072,101.33,1051,8,2018,January,0,0
2014-08-31,14,1100811,94.87,1507,8,2014,August,0,0
2017-12-24,31,762530.75,103.18,1424,7,2017,December,1,0
2011-02-06,37,278831,59.77,804,7,2011,February,0,0
2010-07-04,6,444009,75.87,1080,8,2010,July,0,0
2019-08-04,10,1422213,109.6,1622,8,2019,August,0,0
2017-09-24,18,1408133,114.08,1807,8,2017,September,0,0
2014-11-16,25,1370168,161.59,1069,8,2014,November,0,0
2019-01-27,35,1957299,150.84,1622,8,2019,January,0,0
2010-12-26,31,501179,72.06,1030,8,2010,December,1,0
2016-06-12,3,972860.21,127.17,963,8,2016,June,0,1
2012-04-08,45,225267,80.05,708,8,2012,April,0,0
2012-07-15,7,600469,73.17,1004,8,2012,July,0,0
2019-03-03,40,611290.3,83.9,1424,8,2019,March,0,0
2010-11-14,25,906673,90.13,1470,8,2010,November,0,0
2019-03-10,41,747169,106.62,1168,8,2019,March,0,0
2015-12-13,29,533825,89.12,907,8,2015,December,0,0
2018-07-29,9,737652.75,91.3,1044,8,2018,July,0,0
2016-05-08,50,1289782,148.39,1066,8,2016,May,0,0
2014-08-17,12,717723,85.19,1311,8,2014,August,0,0
2017-09-17,17,308614.4,53.32,1008,8,2017,September,0,0
2014-10-12,20,1614428,117.11,1723,8,2014,October,0,0
2011-05-08,50,609623,81.01,1080,8,2011,May,0,0
2018-11-04,23,451689,82.95,787,8,2018,November,0,0
2013-01-06,32,1091836,97.23,1612,8,2013,January,1,0
2014-10-19,21,1308749,158.23,1026,8,2014,October,0,0
2015-02-22,39,939884,100.07,1424,8,2015,February,0,0
2016-10-09,20,751871.49,94.44,1228,8,2016,October,0,0
2013-06-16,3,1097933,86.93,1605,8,2013,June,0,1
2017-12-31,32,2119371.2,265.19,984,8,2017,December,1,0
2012-07-08,6,1026372,105.58,1195,8,2012,July,0,0
2019-12-15,29,1874481.08,162.59,1435,8,2019,December,0,0
2014-06-15,3,761451,88.24,1516,8,2014,June,0,1
2018-07-29,9,378858.5,64.78,854,8,2018,July,0,0
2012-01-29,35,380321,76.17,804,8,2012,January,0,0
2016-07-17,8,559442.55,83.08,1080,8,2016,July,0,0
2016-06-12,3,256648.85,69.36,753,7,2016,June,0,1
2010-05-23,52,913498,83.14,1498,8,2010,May,0,0
2013-04-21,47,1835410,137.41,1700,8,2013,April,0,0
2019-06-09,2,694849.5,96.64,1069,8,2019,June,0,1
2011-08-28,13,241008,47.45,1737,6,2011,August,0,0
2010-05-16,51,1391151,103.7,1677,8,2010,May,0,0
2010-06-13,3,478990,83.01,997,8,2010,June,0,1
2011-10-16,20,587780,82.02,1080,8,2011,October,0,0
2019-01-27,35,3147991,292.75,1321,8,2019,January,0,0
2010-10-17,21,1576947,108.97,1809,8,2010,October,0,0
2017-11-12,25,356453.41,72.32,734,8,2017,November,0,0
2010-02-14,38,676107,77.09,1615,8,2010,February,0,0
2011-02-06,37,1214880,94.3,1809,8,2011,February,0,0
2014-12-21,30,990052,80.45,1751,8,2014,December,0,0
2019-02-17,38,1371949.4,102.29,1727,8,2019,February,0,0
2019-07-07,6,442880.5,75.59,1026,8,2019,July,0,0
2015-08-02,10,890611,96.75,1424,8,2015,August,0,0
2015-08-23,13,759779,104.44,1018,8,2015,August,0,0
2015-07-26,9,2408501,177.49,1696,8,2015,July,0,0
2011-04-10,46,343744,81.61,1035,8,2011,April,0,0
2010-02-07,37,553179,70.31,1498,8,2010,February,0,0
2012-05-27,52,657600,96.58,1069,8,2012,May,0,0
2014-08-24,13,804364,99.92,1228,8,2014,August,0,0
2015-06-14,3,581972,97.35,1383,8,2015,June,0,1
2013-04-28,48,1107815,96.72,1432,8,2013,April,0,0
2018-12-30,31,1339777.2,131.91,1143,9,2018,December,1,0
2012-03-18,42,913217,97.84,1228,8,2012,March,0,0
2014-05-11,50,1693549,142.27,1700,7,2014,May,0,0
2013-12-22,30,831288,116.26,990,8,2013,December,0,0
2016-10-16,21,331497,80.36,755,8,2016,October,0,0
2012-07-29,9,219181,63.64,990,8,2012,July,0,0
2017-04-09,46,943575.6,96.14,1737,8,2017,April,0,0
2016-01-24,35,340119.87,89.53,740,6,2016,January,0,0
2013-11-17,25,686649,83.35,1051,8,2013,November,0,0
2016-05-22,52,424225.2,83.12,740,8,2016,May,0,0
2019-09-22,17,1081016.1,91.13,1727,8,2019,September,0,0
2010-10-10,20,548728,78.09,1030,8,2010,October,0,0
2012-02-05,36,575400,82.25,1026,8,2012,February,0,0
2011-02-27,40,892911,83.02,1421,8,2011,February,0,0
2012-05-13,50,1598593,182.66,1066,8,2012,May,0,0
2015-10-11,20,907028,95.84,1504,8,2015,October,0,0
2019-04-14,46,1315053.6,165.19,984,8,2019,April,0,0
2016-04-10,46,882474.32,122.51,1026,8,2016,April,0,0
2015-04-12,46,594758,69.77,1383,7,2015,April,0,0
2014-11-09,24,892409,90.22,1432,8,2014,November,0,0
2015-12-20,30,837216,70.82,1707,1,2015,December,0,0
2015-06-28,5,415180,68.3,1012,8,2015,June,1,1
2010-11-14,25,1073888,97.09,1747,8,2010,November,0,0
2019-09-29,18,854677.9,113.05,973,8,2019,September,0,0
2014-06-01,1,958439,97.68,1409,8,2014,June,0,1
2012-04-29,48,211639,46.54,1077,8,2012,April,0,0
2019-02-24,39,842365.6,86.34,1605,8,2019,February,0,0
2016-01-03,32,1155633,111.61,1667,8,2016,January,1,0
2012-05-13,50,585960,92.47,975,8,2012,May,0,0
2012-06-10,2,472562,103.25,583,8,2012,June,0,1
2012-04-22,47,1488498,123.76,1612,8,2012,April,0,0
2014-04-13,46,1422291,132.07,1424,8,2014,April,0,0
2017-05-28,1,663240.5,88.15,1047,8,2017,May,0,0
2013-08-11,11,365570,63.25,1683,8,2013,August,0,0
2017-11-19,26,2401552.5,506.66,948,5,2017,November,1,0
2015-10-04,19,238075,70.62,772,8,2015,October,0,0
2015-05-17,51,614881,63.03,1874,8,2015,May,0,0
2018-01-07,33,1015870.5,103.35,1523,8,2018,January,0,0
2014-10-05,19,849170,120.4,907,8,2014,October,0,0
2012-12-02,27,603197,91.98,1069,8,2012,December,1,0
2017-03-19,43,771107.2,107.94,1026,8,2017,March,0,0
2015-03-22,43,575425,67.04,1874,8,2015,March,0,0
2014-08-31,14,372667,88.75,583,8,2014,August,0,0
2014-12-28,31,864004,110.26,1349,8,2014,December,1,0
2018-09-02,14,1930020,508.97,948,4,2018,September,0,0
2010-10-24,22,255749,64.13,1071,8,2010,October,0,0
2018-11-04,23,176181.8,48.8,643,8,2018,November,0,0
2016-06-05,2,1854989,172.46,1321,8,2016,June,0,1
2015-06-28,5,856775,93.46,1166,8,2015,June,1,1
2013-12-01,27,335405,71.76,1069,8,2013,December,1,0
2018-05-20,52,762134.96,89.23,1080,8,2018,May,0,0
2013-12-01,27,1418373,110.53,1583,8,2013,December,1,0
2019-04-21,47,2633078,155.53,1926,9,2019,April,0,0
2012-01-08,32,1872430,143.39,1677,8,2012,January,1,0
2019-05-05,49,493146,88.79,1049,8,2019,May,0,0
2011-11-20,25,604742,82.4,1498,8,2011,November,0,0
2018-10-21,21,210366.2,59.12,643,8,2018,October,0,0
2018-10-21,21,682369.1,85.46,1019,1,2018,October,0,0
2010-01-10,33,320709,59.15,1004,7,2010,January,0,0
2010-11-28,27,633666,93.95,1448,8,2010,November,1,0
2012-03-25,43,380204,82.4,804,7,2012,March,0,0
2019-08-25,13,1005171.5,120.89,1047,8,2019,August,0,0
2018-01-28,36,599475.78,106.25,696,8,2018,January,0,0
2016-04-10,46,807649.39,82.45,1432,8,2016,April,0,0
2010-08-01,10,1109588,98.75,1421,8,2010,August,0,0
2014-06-08,2,417565,85.32,872,8,2014,June,0,1
2016-11-06,24,445157.2,80.28,998,8,2016,November,0,0
2012-05-20,51,749067,70.14,1755,8,2012,May,0,0
2010-08-22,13,857575,79.57,1615,8,2010,August,0,0
2019-10-13,20,1249044.7,103.7,1493,8,2019,October,0,0
2012-06-10,2,346070,78.46,761,8,2012,June,0,1
2019-12-01,27,623430.86,98.35,1036,8,2019,December,1,0
2019-02-10,37,1141386.2,84.65,1727,8,2019,February,0,0
2012-08-26,13,1631432,186.41,1066,8,2012,August,0,0
2018-08-19,12,457569.92,102.66,696,8,2018,August,0,0
2014-12-28,31,544368,119.8,583,8,2014,December,1,0
2019-12-08,28,449561.5,81.13,1055,8,2019,December,0,0
2016-07-03,6,953783.16,89.93,1605,8,2016,July,0,0
2012-01-08,32,673539,71.23,1755,8,2012,January,1,0
2018-02-04,37,838668.38,80.1,1605,8,2018,February,0,0
2016-02-28,40,1469120,108.53,1696,8,2016,February,0,0
2010-06-20,4,558246,66.94,1344,8,2010,June,1,1
2015-06-07,2,169126,45.83,627,8,2015,June,0,1
2014-06-08,2,733879,100.35,907,8,2014,June,0,1
2016-06-19,4,313556,66.56,740,8,2016,June,1,1
2017-10-15,21,681794.05,88.78,1080,8,2017,October,0,0
2014-11-23,26,1279198,160.42,1026,8,2014,November,1,0
2013-05-05,49,648007,78.22,1708,8,2013,May,0,0
2014-12-21,30,713291,83.12,1874,8,2014,December,0,0
2016-11-20,26,895028.5,103.64,1228,8,2016,November,1,0
2015-12-20,30,1658598,154.6,1321,8,2015,December,0,0
2019-06-02,1,538225.8,90.41,1026,8,2019,June,0,1
2019-02-03,36,3128049,290.87,1321,8,2019,February,0,0
2019-06-16,3,1300668.9,162.87,984,8,2019,June,0,1
2019-12-08,28,623654,114.16,1048,8,2019,December,0,0
2017-09-17,17,615785.5,77.83,1168,8,2017,September,0,0
2011-01-09,33,952123,86.79,1709,8,2011,January,0,0
2018-01-14,34,935524.66,148.07,774,8,2018,January,0,0
2010-12-12,29,172345,44.89,650,8,2010,December,0,0
2015-12-13,29,391608,66.23,1896,8,2015,December,0,0
2014-04-27,48,1203398,104.76,1507,8,2014,April,0,0
2015-03-01,40,561366,77.23,1605,8,2015,March,0,0
2017-11-19,26,2826330,263.31,1321,8,2017,November,1,0
2012-04-22,47,517934,76.7,1424,9,2012,April,0,0
2016-12-25,31,766080.6,122.89,1045,7,2016,December,1,0
2010-02-07,37,331071,69.76,1080,8,2010,February,0,0
2018-05-06,50,1108336.4,153.49,1054,7,2018,May,0,0
2019-09-08,15,873450.8,105.46,1045,8,2019,September,1,0
2014-03-30,44,1489070,135.43,1424,8,2014,March,0,0
2012-05-27,52,1809051,134.81,1677,8,2012,May,0,0
2015-11-29,27,365051,73.84,740,8,2015,November,1,0
2013-09-01,14,990567,126.9,990,8,2013,September,0,0
2017-01-08,33,917804.4,114.01,1044,8,2017,January,0,0
2010-04-04,45,353057,73.14,1058,8,2010,April,0,0
2014-03-16,42,556921,88.44,1059,8,2014,March,0,0
2015-11-01,23,561186,84.33,1080,8,2015,November,0,0
2018-01-21,35,911462.46,145.93,774,8,2018,January,0,0
2019-11-03,23,564574.6,86.92,1045,8,2019,November,0,0
2015-01-11,33,382854,74.4,918,8,2015,January,0,0
2016-12-25,31,709581.35,99.44,1424,7,2016,December,1,0
2015-03-01,40,701215,79.84,1432,8,2015,March,0,0
2017-05-14,51,1638506,139.35,1696,8,2017,May,0,0
2017-07-02,6,1238719,141.62,1066,8,2017,July,0,0
2011-06-12,2,237370,59.64,1079,8,2011,June,0,1
2018-12-30,31,1373614,137.95,1380,8,2018,December,1,0
2014-10-05,19,818490,82.22,1605,8,2014,October,0,0
2016-01-24,35,300106,74.28,740,6,2016,January,0,0
2011-11-20,25,1367805,156.28,1066,8,2011,November,0,0
2011-09-25,17,825127,78.67,1498,8,2011,September,0,0
2012-04-15,46,2153975,148.84,1809,8,2012,April,0,0
2013-05-12,50,814582,107.91,1059,8,2013,May,0,0
2012-10-14,20,1185495,106.44,1612,8,2012,October,0,0
2014-04-20,47,283182,48.17,734,1,2014,April,0,0
2012-04-01,44,457568,110.58,1036,4,2012,April,0,0
2012-05-27,52,389769,80.43,990,8,2012,May,0,0
2011-10-02,18,819826,80.6,1498,8,2011,October,0,0
2014-08-10,11,567272,122.44,682,7,2014,August,0,0
2018-12-23,30,1642987.55,205.6,984,8,2018,December,0,0
2019-03-10,41,1278661.4,160.19,984,8,2019,March,0,0
2015-11-08,24,258915,70.41,583,8,2015,November,0,0
2012-08-05,10,2013943,150.08,1677,8,2012,August,0,0
2017-10-15,21,762631.1,98.11,1045,8,2017,October,0,0
2013-05-26,52,348516,87.3,1042,6,2013,May,0,0
2019-10-27,22,2965824,275.81,1324,8,2019,October,0,0
2013-12-01,27,643572,88.73,1080,8,2013,December,1,0
2016-12-11,29,431180,82.13,728,8,2016,December,0,0
2017-12-24,31,1862541.66,232.99,984,8,2017,December,1,0
2014-02-23,39,549515,78.7,1166,8,2014,February,0,0
2010-11-14,25,1104868,116.56,1228,8,2010,November,0,0
2018-12-16,29,592063.72,86.24,1080,8,2018,December,0,0
2019-02-24,39,1054953,121.58,1047,8,2019,February,0,0
2013-12-29,31,2145404,245.13,1066,8,2013,December,1,0
2010-09-26,18,522253,78.83,1030,8,2010,September,0,0
2016-09-18,17,999384.45,78.45,1896,8,2016,September,0,0
2012-09-09,15,1204959,90.71,1930,8,2012,September,1,0
2016-12-18,30,1642673,121.89,1727,8,2016,December,0,0
2015-10-25,22,698868,95.87,1228,8,2015,October,0,0
2019-10-27,22,910605.76,158.53,961,6,2019,October,0,0
2013-08-04,10,332317,66.46,928,8,2013,August,0,0
2013-11-17,25,1243485,147.61,1053,8,2013,November,0,0
2012-04-15,46,741003,71.55,1470,8,2012,April,0,0
2010-08-22,13,274787,66.23,1058,8,2010,August,0,0
2019-01-20,34,664184,86.4,1143,8,2019,January,0,0
2019-04-28,48,1362505.75,170.61,984,8,2019,April,0,0
2013-01-06,32,1052613,95.33,1605,7,2013,January,1,0
2010-05-09,50,1371385,102.99,1677,8,2010,May,0,0
2010-05-09,50,276686,62.25,772,8,2010,May,0,0
2015-02-15,38,669499,87.98,1409,8,2015,February,0,0
2011-10-23,21,1502153,106.73,1930,8,2011,October,0,0
2018-01-28,36,1799379,133.63,1696,8,2018,January,0,0
2010-06-27,5,204944,51.95,1058,8,2010,June,1,1
2016-09-18,17,735520.66,90.03,1051,8,2016,September,0,0
2010-06-06,2,258248,61.72,772,8,2010,June,0,1
2019-02-17,38,1609189,138.27,1435,8,2019,February,0,0
2014-08-17,12,2208482,164.2,1700,8,2014,August,0,0
2018-10-21,21,251815,65.44,963,8,2018,October,0,0
2010-07-18,8,1624092,120.96,1677,8,2010,July,0,0
2017-05-28,1,974065.65,105.51,1228,8,2017,May,0,0
2015-03-15,42,567670,77.86,1166,8,2015,March,0,0
2012-06-17,3,687045,79.03,1498,8,2012,June,0,1
2015-11-15,25,677842,108.54,977,8,2015,November,0,0
2016-02-14,38,583132.91,88.5,1057,8,2016,February,0,0
2018-07-22,8,985030.92,155.59,774,8,2018,July,0,0
2015-10-25,22,1489233,139.08,1321,8,2015,October,0,0
2014-04-27,48,1194264,86.6,1723,8,2014,April,0,0
2013-06-02,1,888684,117.09,990,8,2013,June,0,1
2018-07-22,8,684806.91,85.86,1080,8,2018,July,0,0
2012-03-18,42,1760703,132.96,1677,8,2012,March,0,0
2016-07-31,10,981468.1,90.81,1896,8,2016,July,0,0
2011-01-02,32,731576,100.59,997,8,2011,January,1,0
2014-02-23,39,621483,93.65,1036,8,2014,February,0,0
2012-10-07,19,1093515,100.78,1439,8,2012,October,0,0
2015-03-01,40,571871,74.22,1409,8,2015,March,0,0
2018-04-15,47,1753123,219.22,984,8,2018,April,0,0
2014-04-20,47,845382,102.16,1080,8,2014,April,0,0
2019-08-04,10,1624807,120.1,1727,8,2019,August,0,0
2016-06-12,3,370368.5,73.94,914,8,2016,June,0,1
2019-03-24,43,564472.37,94.36,1019,8,2019,March,0,0
2015-05-31,1,512816,51.15,1874,8,2015,May,0,0
2011-03-20,43,1670779,115.45,1809,8,2011,March,0,0
2016-03-27,44,318920,79.2,802,8,2016,March,0,0
2018-05-20,52,1208987,141.58,1046,8,2018,May,0,0
2018-12-30,31,1266709.2,141.93,1168,8,2018,December,1,0
2013-04-07,45,1120203,90.3,1708,8,2013,April,0,0
2016-12-18,30,195566,53.3,755,8,2016,December,0,0
2012-07-01,5,716782,104.47,1063,8,2012,July,1,0
2011-12-11,28,1777817,125.46,1809,8,2011,December,0,0
2012-11-11,24,382398,73.65,1045,8,2012,November,0,0
2015-04-12,46,612057,85.87,1080,8,2015,April,0,0
2013-01-20,34,235067,52.09,740,8,2013,January,0,0
2015-04-26,48,578704,98.75,907,8,2015,April,0,0
2014-03-30,44,949056,102.24,1422,8,2014,March,0,0
2016-12-04,28,1736046,132.2,1807,8,2016,December,0,0
2014-06-22,4,419041,80.43,872,8,2014,June,1,1
2014-04-27,48,725517,100.77,1007,6,2014,April,0,0
2012-04-29,48,1371737,105.92,1930,8,2012,April,0,0
2011-06-05,1,573666,85.93,1071,8,2011,June,0,1
2016-01-17,34,728263.25,106.25,1176,8,2016,January,0,0
2014-07-13,7,901681,123.55,907,8,2014,July,0,0
2015-03-29,44,1137135,99,1432,8,2015,March,0,0
2010-01-10,33,564267,72.16,1044,8,2010,January,0,0
2012-05-20,51,627387,91.35,975,8,2012,May,0,0
2018-05-20,52,1489149.15,150.6,1225,8,2018,May,0,0
2010-07-18,8,511505,75.78,1030,8,2010,July,0,0
2013-02-17,38,675688,89.86,1080,8,2013,February,0,0
2014-06-08,2,869478,81.74,1605,8,2014,June,0,1
2018-06-10,2,877138,103.27,1143,8,2018,June,0,1
2010-12-12,29,583281,97.85,1055,8,2010,December,0,0
2018-09-16,16,2004006,154.44,1622,8,2018,September,0,0
2016-02-14,38,462978.28,70.48,1021,8,2016,February,0,0
2019-05-12,50,1181292.49,148.95,984,8,2019,May,0,0
2018-06-17,3,599470,84.5,1044,8,2018,June,0,1
2012-10-21,21,521696,113.31,583,8,2012,October,0,0
2019-03-31,44,1825771.5,140.7,1622,8,2019,March,0,0
2015-04-26,48,1972747,145.51,1700,8,2015,April,0,0
2011-11-06,23,711773,79.37,1689,8,2011,November,0,0
2017-01-22,35,270680.6,53.11,650,6,2017,January,0,0
2017-02-12,38,1264107,145.74,1066,8,2017,February,0,0
2018-07-29,9,1057782.14,127.26,1039,8,2018,July,0,0
2016-07-24,9,736452.1,108.99,1026,8,2016,July,0,0
2016-05-15,51,419040,79.98,914,8,2016,May,0,0
2013-11-17,25,1617270,142.75,1424,8,2013,November,0,0
2013-02-10,37,742022,130.96,1631,5,2013,February,0,0
2013-03-03,40,787625,75.03,1605,8,2013,March,0,0
2010-06-13,3,576524,65.06,1344,8,2010,June,0,1
2013-06-02,1,1776282,127.36,1809,8,2013,June,0,1
2018-10-21,21,2414700,509.43,948,5,2018,October,0,0
2015-09-27,18,1567451,146.33,1321,8,2015,September,0,0
2018-12-23,30,547519,102.34,1045,7,2018,December,0,0
2019-06-09,2,2873104,267.69,1321,8,2019,June,0,1
2016-12-11,29,2119872,158.41,1696,8,2016,December,0,0
2010-04-04,45,191500,62.75,589,8,2010,April,0,0
2018-08-05,10,1592807.2,160.87,1225,8,2018,August,0,0
2011-09-11,15,732228,100.48,1026,8,2011,September,1,0
2016-11-27,27,1533940,176.29,1066,8,2016,November,1,0
2017-10-01,19,890616.29,117.43,1026,8,2017,October,0,0
2016-08-28,14,606551,75.66,1707,8,2016,August,0,0
2012-01-08,32,484127,81.03,804,8,2012,January,1,0
2012-01-01,31,1278299,93.66,1755,9,2012,January,1,0
2017-01-08,33,1034653,97.21,1375,8,2017,January,0,0
2018-01-21,35,746654.5,87.28,1424,8,2018,January,0,0
2011-06-05,1,789154,73.63,1749,8,2011,June,0,1
2011-05-01,49,943467,86.41,1498,8,2011,May,0,0
2015-06-21,4,1206318,158.48,1069,7,2015,June,1,1
2014-12-07,28,1324837,161.53,1026,8,2014,December,0,0
2019-06-16,3,730671.5,97.72,1069,8,2019,June,0,1
2010-05-30,1,308931,74.89,1058,8,2010,May,0,0
2017-04-30,49,855155.6,114.83,1026,8,2017,April,0,0
2018-04-29,49,2134280,157.74,1696,8,2018,April,0,0
2011-04-03,45,348447,81.85,922,6,2011,April,0,0
2019-06-23,4,863927.3,116.57,1019,8,2019,June,1,1
2018-04-08,46,472563.3,102.64,581,8,2018,April,0,0
2019-07-07,6,1494676.64,132.37,1424,8,2019,July,0,0
2017-06-25,5,766231.9,102.21,1168,8,2017,June,1,1
2010-06-27,5,723560,113,804,8,2010,June,1,1
2018-02-11,38,889877.2,93.5,1446,8,2018,February,0,0
2012-12-09,28,382852,76.46,1045,8,2012,December,0,0
2014-04-06,45,868034,118.94,1026,8,2014,April,0,0
